Number,Name,Time,Stands,Cluster
2,BLESSINGTON STREET,17:40:00,15.900783289817232,2
2,BLESSINGTON STREET,17:50:00,15.67866323907455,2
2,BLESSINGTON STREET,18:00:00,15.426356589147288,2
2,BLESSINGTON STREET,18:10:00,15.085271317829458,2
2,BLESSINGTON STREET,18:20:00,15.078534031413612,2
2,BLESSINGTON STREET,18:30:00,14.889473684210527,2
2,BLESSINGTON STREET,18:40:00,14.852631578947369,2
2,BLESSINGTON STREET,18:50:00,14.746770025839794,2
2,BLESSINGTON STREET,19:00:00,14.583333333333334,2
2,BLESSINGTON STREET,19:10:00,14.345360824742269,2
2,BLESSINGTON STREET,19:20:00,14.288311688311689,2
2,BLESSINGTON STREET,19:30:00,14.297927461139896,2
2,BLESSINGTON STREET,19:40:00,14.213917525773196,2
2,BLESSINGTON STREET,19:50:00,13.96401028277635,2
2,BLESSINGTON STREET,20:00:00,13.759791122715404,2
2,BLESSINGTON STREET,20:10:00,13.61658031088083,2
2,BLESSINGTON STREET,20:20:00,13.22538860103627,2
2,BLESSINGTON STREET,20:30:00,13.007832898172325,2
2,BLESSINGTON STREET,20:40:00,12.849740932642487,2
2,BLESSINGTON STREET,20:50:00,12.804177545691905,2
2,BLESSINGTON STREET,21:00:00,12.648578811369509,2
2,BLESSINGTON STREET,21:10:00,12.442708333333334,2
2,BLESSINGTON STREET,21:20:00,12.178294573643411,2
2,BLESSINGTON STREET,21:30:00,12.138020833333334,2
2,BLESSINGTON STREET,21:40:00,12.05699481865285,2
2,BLESSINGTON STREET,21:50:00,11.958441558441558,2
2,BLESSINGTON STREET,22:00:00,11.825641025641026,2
2,BLESSINGTON STREET,22:10:00,11.651948051948052,2
2,BLESSINGTON STREET,22:20:00,11.427083333333334,2
2,BLESSINGTON STREET,22:30:00,11.433766233766233,2
2,BLESSINGTON STREET,22:40:00,11.44186046511628,2
2,BLESSINGTON STREET,22:50:00,11.38860103626943,2
2,BLESSINGTON STREET,23:00:00,11.297368421052632,2
2,BLESSINGTON STREET,23:10:00,11.12532637075718,2
2,BLESSINGTON STREET,23:20:00,10.984084880636605,2
2,BLESSINGTON STREET,23:30:00,10.885714285714286,2
2,BLESSINGTON STREET,23:40:00,10.77720207253886,2
2,BLESSINGTON STREET,23:50:00,10.700258397932817,2
3,BOLTON STREET,00:00:00,12.55181347150259,2
3,BOLTON STREET,00:10:00,12.490956072351421,2
3,BOLTON STREET,00:20:00,12.479274611398964,2
3,BOLTON STREET,00:30:00,12.517948717948718,2
3,BOLTON STREET,00:40:00,12.511568123393316,2
